fid,field_1,field_2,field_3,FORM_CODE,IGME_NAME,HYDRO_CODE,H1,SAMPLE_1
"1098","23.2636","40.7349","-7.8056",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","177",322.931274414062
"1099","23.2969","40.7349","-6.4141",γ2,Ζαγκλιβέρι - Λαχανάς - Σοχός,"222","179",305.410003662109
"1100","23.3302","40.7349","-4.2342",γ2,Ζαγκλιβέρι - Λαχανάς - Σοχός,"222","191",361.195159912109
"1101","23.3635","40.7349","1.7322",ab-gn2,Ζαγκλιβέρι - Σοχός,"323","205",432.266967773438
"1102","23.2969","40.7016","-9.8601",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","158",209.294525146484
"1103","23.4634","40.7349","26.8039",ab-gn2,Ζαγκλιβέρι - Σταυρός - Σοχός - Σιτοχώριον,"323","216",504.296081542969
"1104","23.3968","40.7349","10.6013",ab-gn2,Ζαγκλιβέρι - Σταυρός - Σοχός - Σιτοχώριον,"323","203",460.557220458984
"1105","22.9639","40.635","35.3428","sch,gn",Θέρμη - Πολύγυρος - Βασιλικά - Θεσσαλονίκη - Ζαγκλιβέρι,"222","144",90.5982818603516
"1106","22.9972","40.635","31.3637","sch,gn",Θέρμη - Πολύγυρος - Βασιλικά - Θεσσαλονίκη - Ζαγκλιβέρι,"222","178",326.351745605469
"1107","22.9639","40.6017","24.1289","M4-Pli.st,m",- Θέρμη - Θεσσαλονίκη,"221","127",32.4477806091309
