id,f,l,H,dg
1,40.63201602,22.96249145,67.209,33.6102
1,40.63219107,22.96241221,66.619,33.511
1,40.63238319,22.96226168,65.666,33.4615
1,40.63248283,22.96197733,64.595,33.6715
1,40.63255527,22.96177661,64.291,33.9239
1,40.63275023,22.96160118,64.289,34.1035
1,40.63277955,22.96136282,64.033,34.3797
1,40.63288968,22.96115947,63.507,34.5148
1,40.63302518,22.96090037,61.486,34.5439
1,40.63311575,22.96071656,60.295,34.5447
1,40.63318154,22.96045395,58.829,34.5743
1,40.63322426,22.96022407,58.215,34.7204
1,40.63337467,22.95995388,57.517,34.9154
1,40.6333366,22.95967981,56.692,35.0197
1,40.63339014,22.95941677,56.024,35.1139
1,40.63348436,22.95919654,55.425,35.1595
1,40.63369647,22.95909664,54.818,35.1493
1,40.63382114,22.95891281,52.173,34.9132
1,40.63384467,22.95868003,50.034,34.8291
1,40.63386902,22.95838892,47.857,34.7253
1,40.63395966,22.95813354,44.681,34.4747
1,40.63396871,22.95792616,42.887,34.3699
1,40.63402517,22.95771933,40.568,34.1842
1,40.63409205,22.9574448,37.937,33.9215
1,40.63416748,22.95721,36.836,33.7953
1,40.63424219,22.95700466,36.226,33.6862
1,40.63162763,22.96270682,66.795,33.2145
1,40.63138019,22.96269478,66.01,33.3546
1,40.63119129,22.96263205,63.334,33.3406
1,40.63104773,22.96249452,60.75,33.3435
1,40.63094112,22.96245279,59.052,33.3597
1,40.63078185,22.96236245,56.443,33.338
1,40.63059959,22.96227706,53.441,33.268
1,40.63047266,22.96214224,50.632,33.2257
1,40.63033647,22.9619374,45.593,32.9868
1,40.6305353,22.96180501,45.499,32.898
1,40.63073359,22.96166961,45.357,32.9116
1,40.6309354,22.96151375,44.887,32.8572
1,40.63111969,22.96138971,45.351,33.0366
1,40.63133335,22.96121422,45.107,33.0281
1,40.63152642,22.96105586,45.08,33.061
1,40.63175086,22.96084417,44.981,33.1504
1,40.63192064,22.96065836,44.745,33.1483
1,40.63211681,22.96045001,44.745,33.2956
1,40.63230547,22.96024482,44.673,33.3211
1,40.63247898,22.96001318,44.417,33.2943
1,40.63264643,22.95978672,43.834,33.3494
1,40.63279461,22.95956204,43.226,33.4653
1,40.63295382,22.95931249,42.366,33.5381
1,40.6331225,22.95901573,41.516,33.6202
1,40.63323681,22.95878865,40.741,33.625
1,40.63337562,22.95852741,40.009,33.6129
1,40.63351038,22.95825127,39.179,33.6447
1,40.63364936,22.95801679,38.335,33.6516
1,40.63379484,22.95776095,37.837,33.751
1,40.63393776,22.95751466,36.959,33.6782
1,40.63408183,22.95728829,37.143,33.7015
1,40.63386953,22.95782267,41.464,34.0907
1,40.63367661,22.95823806,47.477,34.5335
1,40.63340937,22.95899578,53.15,34.8178
1,40.63304553,22.95965777,50.804,34.2294
1,40.63259472,22.96001699,49.014,33.6552
1,40.63263076,22.96037527,48.556,33.4112
1,40.63228253,22.96139732,58.88,33.8338
1,40.63200911,22.96175465,59.515,33.5271
1,40.63106858,22.96225539,56.424,33.2647
1,40.63088008,22.96196753,52.997,33.2432
1,40.62777778,22.96555556,51.783,33.0406
1,40.62722222,22.96583333,54.418,33.2209
1,40.62694444,22.96638889,57.657,33.3054
1,40.62666667,22.96694444,59.694,33.4651
1,40.62638889,22.9675,62.823,33.7851
1,40.62611111,22.96805556,64.996,33.648
1,40.62555556,22.96833333,64.276,33.7655
1,40.62527778,22.96833333,61.912,33.7549
